Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Critical adapted distance,Velocity at critical distance,Critical
824,1.801855,1.898917,0.018816,-0.577203,-4.063167,0
825,1.780767,1.931255,0.023355,-0.495858,-5.096092,0
826,1.997867,2.120074,0.468036,-0.000000,-6.970860,0
827,1.447355,1.909077,0.158556,-0.486173,-6.354074,0
828,1.999815,2.001324,4.257273,-0.000000,-6.986497,0
829,1.553676,1.898948,0.018816,-0.327526,-6.814612,0
830,0.755336,1.270657,0.681751,-0.760724,-3.698363,1
831,1.999815,1.933997,4.528372,-0.000000,-6.986497,0
832,0.604467,1.266565,2.124142,-0.996700,-1.824111,1
833,0.507445,2.159466,3.729155,-0.996460,-1.577145,1
834,1.999467,1.820559,4.075600,-0.000000,-6.985496,0
835,0.596143,1.439068,2.155203,-0.933611,-3.125382,1
836,0.744390,1.270657,0.738251,-0.740110,-3.685411,1
837,1.538881,1.898051,0.016559,-0.306231,-6.790749,0
838,1.780767,1.931396,0.023355,-0.495007,-5.096092,0
839,1.997867,2.118807,0.465533,-0.000000,-6.970860,0
840,0.604467,1.226038,2.155203,-0.977516,-1.824111,1
841,1.436093,1.887302,0.137858,-0.485823,-6.324722,0
842,1.801855,1.923336,0.028657,-0.499616,-4.500405,0
843,0.755235,1.279137,0.681751,-0.672725,-3.698367,1
844,1.792671,1.898917,0.023374,-0.563528,-4.007998,0
845,0.494631,1.897435,3.711743,-0.999486,-1.567065,1
846,0.507445,2.151077,3.711743,-0.999456,-1.577145,1
847,0.510474,2.151077,3.711743,-0.998474,-1.584843,1
848,0.510304,2.135762,3.711743,-0.996907,-1.587005,1
849,0.604467,1.266565,2.124142,-0.996700,-1.824111,1
850,0.607506,1.267425,2.155203,-0.978247,-1.835186,1
851,0.596237,1.439068,2.155203,-0.940105,-3.197635,1
852,0.596250,1.440541,2.155203,-0.931699,-3.197855,1
853,0.744390,1.270657,0.742933,-0.769414,-3.685411,1
854,0.755336,1.270657,0.681751,-0.760724,-3.698363,1
855,0.755235,1.270657,0.681751,-0.760426,-3.698367,1
856,0.755236,1.270657,0.681751,-0.760426,-3.698367,1
857,1.801855,1.898917,0.018816,-0.577203,-4.063167,0
858,1.532035,1.898051,0.113219,-0.527209,-4.306258,0
859,1.494914,1.898319,0.137858,-0.519462,-4.491263,0
860,1.494914,1.898319,0.133841,-0.519462,-4.491263,0
861,1.487451,1.898319,0.137858,-0.514015,-4.636114,0
862,1.780767,1.931255,0.023355,-0.495858,-5.096092,0
863,1.437891,1.887302,0.137858,-0.494258,-6.329692,0
864,1.447355,1.909077,0.158556,-0.486173,-6.354074,0
865,1.537891,1.898051,0.040241,-0.459685,-6.746680,0
866,1.532035,1.896784,0.016054,-0.332670,-6.747926,0
867,1.553676,1.898948,0.018816,-0.327526,-6.814612,0
868,1.548182,1.898051,0.016559,-0.325219,-6.816884,0
869,1.997867,2.120074,0.468036,-0.000000,-6.970860,0
870,1.998163,1.794954,0.371820,-0.000000,-6.972412,0
871,1.999860,1.922626,0.448413,-0.000000,-6.977430,0
872,1.999815,1.898017,4.203001,-0.000000,-6.986497,0
873,1.999689,1.887992,4.367735,-0.000000,-6.986497,0
874,1.999689,1.887992,4.209987,-0.000000,-6.986497,0
875,1.999815,1.898017,4.191209,-0.000000,-6.986497,0
876,1.999815,1.897969,4.390600,-0.000000,-6.986497,0
877,1.999815,1.820559,4.191209,-0.000000,-6.986497,0
878,1.999815,1.898015,4.203001,-0.000000,-6.986497,0
879,1.999815,1.897969,4.272716,-0.000000,-6.986497,0
880,1.999856,1.929064,4.581860,-0.000000,-6.986497,0
881,1.999815,1.887304,4.203001,-0.000000,-6.986497,0
882,1.999815,1.898017,2.153714,-0.000000,-6.986497,0
883,1.999815,1.897924,4.203001,-0.000000,-6.986497,0
884,1.999815,2.001324,4.257273,-0.000000,-6.986497,0
885,1.999815,1.933997,4.528372,-0.000000,-6.986497,0
886,0.510474,2.151077,3.711743,-0.998474,-1.584843,1
887,0.510304,2.135762,3.711743,-0.996907,-1.587005,1
888,0.604467,1.266565,2.124142,-0.996700,-1.824111,1
889,0.607506,1.267425,2.155203,-0.978247,-1.835186,1
890,0.596237,1.439068,2.155203,-0.940105,-3.197635,1
891,0.596250,1.440541,2.155203,-0.931699,-3.197855,1
892,0.744390,1.270657,0.742933,-0.769414,-3.685411,1
893,0.755336,1.270657,0.681751,-0.760724,-3.698363,1
894,0.755235,1.270657,0.681751,-0.760426,-3.698367,1
895,0.755236,1.270657,0.681751,-0.760426,-3.698367,1
896,1.801855,1.898917,0.018816,-0.577203,-4.063167,0
897,1.532035,1.898051,0.113219,-0.527209,-4.306258,0
898,1.494914,1.898319,0.137858,-0.519462,-4.491263,0
899,1.494914,1.898319,0.133841,-0.519462,-4.491263,0
900,1.487451,1.898319,0.137858,-0.514015,-4.636114,0
901,1.437891,1.887302,0.137858,-0.494258,-6.329692,0
902,1.447355,1.909077,0.158556,-0.486173,-6.354074,0
903,1.997867,2.120074,0.468036,-0.000000,-6.970860,0
904,1.999815,1.898017,4.203001,-0.000000,-6.986497,0
905,1.999689,1.887992,4.367735,-0.000000,-6.986497,0
906,1.999689,1.887992,4.209987,-0.000000,-6.986497,0
907,1.999815,1.898017,4.191209,-0.000000,-6.986497,0
908,1.999815,1.897969,4.390600,-0.000000,-6.986497,0
909,1.999815,1.820559,4.191209,-0.000000,-6.986497,0
910,1.999815,1.898015,4.203001,-0.000000,-6.986497,0
911,1.999815,1.897969,4.272716,-0.000000,-6.986497,0
912,1.999856,1.929064,4.581860,-0.000000,-6.986497,0
913,1.999815,1.887304,4.203001,-0.000000,-6.986497,0
914,1.999815,1.898017,2.153714,-0.000000,-6.986497,0
915,1.999815,1.897924,4.203001,-0.000000,-6.986497,0
916,1.999815,2.001324,4.257273,-0.000000,-6.986497,0
917,1.999815,1.933997,4.528372,-0.000000,-6.986497,0
918,1.999815,1.898017,4.248407,-0.000000,-6.986497,0
919,1.560763,1.898051,0.007275,-0.353871,-6.847065,0
920,0.507445,2.151561,3.711743,-0.999606,-1.577145,1
921,1.999860,2.120070,0.468326,-0.000000,-6.977430,0
922,1.999856,1.872062,4.581860,-0.000000,-6.986497,0
923,1.780767,1.930642,0.023355,-0.499578,-5.096092,0
924,1.999815,1.895170,4.227244,-0.000000,-6.986497,0
925,1.999815,1.898017,3.708812,-0.000000,-6.986497,0
926,1.545582,1.898051,0.040241,-0.464402,-6.747319,0
927,1.537891,1.898051,0.029171,-0.379179,-6.765093,0
928,1.999815,1.897969,4.506654,-0.000000,-6.986497,0
929,1.999815,1.933997,4.309673,-0.000000,-6.986497,0
