Index,car_width,car_length,sampling_rate,isCollision,ego_vimpact,min_ttc,stopCondition,endTime,timeCollision
230,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
231,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
232,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
233,1.98,4.31,100,1.00,1.62,10.00,4.00,6.12,-1
234,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
235,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
236,1.98,4.31,100,0.00,0.00,0.54,3.00,10.00,-1
237,1.98,4.31,100,0.00,0.00,0.17,3.00,10.00,-1
238,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
239,1.98,4.31,100,1.00,3.05,10.00,4.00,4.27,-1
240,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
241,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
242,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
243,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
244,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
245,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
246,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
247,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
248,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
249,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
250,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
251,1.98,4.31,100,1.00,3.66,10.00,4.00,3.66,-1
252,1.98,4.31,100,1.00,1.62,10.00,4.00,6.13,-1
253,1.98,4.31,100,0.00,0.00,0.89,3.00,10.00,-1
254,1.98,4.31,100,1.00,2.96,10.00,4.00,3.96,-1
255,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
256,1.98,4.31,100,0.00,0.00,0.52,3.00,10.00,-1
257,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
258,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
259,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
260,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
261,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
262,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
263,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
264,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
265,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
266,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
267,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
268,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
269,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
270,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
271,1.98,4.31,100,1.00,3.59,10.00,4.00,3.84,-1
272,1.98,4.31,100,0.00,0.00,0.01,3.00,10.00,-1
273,1.98,4.31,100,1.00,1.55,10.00,4.00,6.64,-1
274,1.98,4.31,100,1.00,1.55,10.00,4.00,6.64,-1
275,1.98,4.31,100,0.00,0.00,0.10,3.00,10.00,-1
276,1.98,4.31,100,1.00,2.76,10.00,4.00,4.25,-1
277,1.98,4.31,100,1.00,2.63,10.00,4.00,4.09,-1
278,1.98,4.31,100,1.00,2.56,10.00,4.00,4.09,-1
279,1.98,4.31,100,1.00,2.60,10.00,4.00,4.09,-1
280,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
281,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
282,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
283,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
284,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
285,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
286,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
287,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
288,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
289,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
290,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
291,1.98,4.31,100,0.00,0.00,0.20,3.00,10.00,-1
292,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
293,1.98,4.31,100,0.00,0.00,0.19,3.00,10.00,-1
294,1.98,4.31,100,0.00,0.00,0.11,3.00,10.00,-1
295,1.98,4.31,100,0.00,0.00,0.15,3.00,10.00,-1
296,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
297,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
298,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
299,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
300,1.98,4.31,100,1.00,2.75,10.00,4.00,3.72,-1
301,1.98,4.31,100,0.00,0.00,0.16,3.00,10.00,-1
302,1.98,4.31,100,1.00,1.88,10.00,4.00,5.25,-1
303,1.98,4.31,100,0.00,0.00,0.85,3.00,10.00,-1
304,1.98,4.31,100,0.00,0.00,0.33,3.00,10.00,-1
305,1.98,4.31,100,1.00,3.18,0.32,4.00,7.63,-1
306,1.98,4.31,100,0.00,0.00,0.10,3.00,10.00,-1
307,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
308,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
309,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
310,1.98,4.31,100,1.00,1.88,10.00,4.00,5.25,-1
311,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
312,1.98,4.31,100,1.00,2.75,10.00,4.00,3.72,-1
313,1.98,4.31,100,0.00,0.00,0.10,3.00,10.00,-1
314,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
315,1.98,4.31,100,0.00,0.00,0.11,3.00,10.00,-1
316,1.98,4.31,100,0.00,0.00,0.20,3.00,10.00,-1
317,1.98,4.31,100,1.00,2.74,10.00,4.00,3.73,-1
318,1.98,4.31,100,0.00,0.00,0.81,3.00,10.00,-1
319,1.98,4.31,100,0.00,0.00,0.80,3.00,10.00,-1
