Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Critical adapted distance,Velocity at critical distance
73,0.271491,0.674152,3.857503,-0.999682,-0.988301
74,0.317199,1.227324,4.856804,-0.991461,-1.492177
75,0.317199,1.190659,4.940385,-0.992671,-1.089496
76,0.271491,0.674152,3.772864,-0.998380,-0.988301
77,0.648608,0.929498,1.082978,-0.811622,-1.925580
78,0.317199,1.190659,4.961985,-0.992019,-1.089496
79,0.317199,1.190659,4.687693,-0.991117,-1.515314
80,0.648608,0.932930,1.039750,-0.966705,-1.987765
81,0.271491,0.674152,3.857503,-0.999682,-0.988301
82,0.317199,1.227324,4.856804,-0.991461,-1.492177
83,0.317199,1.190659,4.940385,-0.992671,-1.089496
84,0.275663,0.680202,3.772864,-0.993210,-0.989732
85,0.271491,0.674152,3.812414,-0.999031,-0.988301
86,0.655989,0.941900,1.082978,-0.777282,-1.935723
87,0.309818,1.214923,4.856804,-0.904064,-1.436873
88,0.317199,1.190659,4.687693,-0.991117,-1.515314
89,0.648608,0.932930,1.039750,-0.966705,-1.987765
90,0.271491,0.674152,3.857503,-0.999682,-0.988301
91,0.317199,1.227324,4.856804,-0.991461,-1.492177
92,0.317199,1.190659,4.940385,-0.992671,-1.089496
93,0.275663,0.680202,3.772864,-0.993210,-0.989732
94,0.271491,0.674152,3.812414,-0.999031,-0.988301
95,0.655989,0.941900,1.082978,-0.777282,-1.935723
96,0.309818,1.214923,4.856804,-0.904064,-1.436873
97,0.317199,1.190659,4.687693,-0.991117,-1.515314
98,0.648608,0.932930,1.039750,-0.966705,-1.987765
99,0.271491,0.674152,3.857503,-0.999682,-0.988301
100,0.317199,1.227324,4.856804,-0.991461,-1.492177
101,0.317199,1.190659,4.940385,-0.992671,-1.089496
102,0.275663,0.680202,3.772864,-0.993210,-0.989732
103,0.271491,0.674152,3.812414,-0.999031,-0.988301
104,0.655989,0.941900,1.082978,-0.777282,-1.935723
105,0.309818,1.214923,4.856804,-0.904064,-1.436873
106,0.648608,0.926911,1.039750,-0.890230,-1.925580
107,0.271491,0.674152,3.857503,-0.999682,-0.988301
108,0.275663,0.680202,3.772864,-0.993210,-0.989732
109,0.317199,1.190659,4.940385,-0.992671,-1.089496
110,0.317199,1.227324,4.856804,-0.991461,-1.492177
111,0.317199,1.190659,4.687693,-0.991117,-1.515314
112,0.648608,0.932930,1.039750,-0.966705,-1.987765
113,0.648608,0.932930,1.039750,-0.966705,-1.987765
114,0.317199,1.191231,4.700573,-0.993540,-1.515314
115,0.271491,0.676682,3.891594,-0.999954,-0.988301
116,0.648608,0.930862,1.146676,-0.676958,-1.925580
117,0.647813,1.190659,0.954550,-0.658144,-1.953172
118,0.275663,0.680202,3.772864,-0.993210,-0.989732
119,0.317199,1.190659,4.940385,-0.992671,-1.089496
120,0.317199,1.227324,4.856804,-0.991461,-1.492177
121,0.317199,1.190659,4.687693,-0.991117,-1.515314
122,0.271491,0.674152,3.857503,-0.999682,-0.988301
123,0.301905,1.190659,4.940385,-0.916091,-1.358767
124,0.317199,1.216452,4.664246,-0.800980,-1.468836
125,0.317087,1.269728,4.856804,-0.812972,-1.440508
126,0.327237,1.196658,4.940385,-0.982604,-1.113752
127,0.271491,0.673579,3.844622,-0.999594,-0.988301
128,0.285022,0.676587,3.857503,-0.816647,-0.992503
129,0.271491,0.671009,3.857503,-0.999553,-0.988301
130,0.271491,0.698880,3.756756,-0.978507,-0.987489
131,0.271603,0.631759,3.857503,-0.888636,-0.988090
132,0.369652,0.769277,1.185089,-0.726230,-0.364828
133,0.648608,1.189266,1.039750,-0.618258,-0.786486
134,0.648608,0.932930,1.039750,-0.966705,-1.987765
135,0.317199,1.191231,4.700573,-0.993540,-1.515314
136,0.271491,0.676682,3.891594,-0.999954,-0.988301
137,0.275575,0.676125,3.857503,-0.995230,-0.989679
138,0.637222,1.190659,1.007372,-0.709556,-3.468774
139,0.648608,0.933353,1.096531,-0.820820,-1.925580
140,0.275663,0.680202,3.772864,-0.993210,-0.989732
141,0.317199,1.190659,4.940385,-0.992671,-1.089496
142,0.317199,1.227324,4.856804,-0.991461,-1.492177
143,0.317199,1.190659,4.687693,-0.991117,-1.515314
144,0.271491,0.674152,3.857503,-0.999682,-0.988301
145,0.647813,1.190659,0.954550,-0.658144,-1.953172
146,0.668160,0.936073,1.039750,-0.678463,-1.947118
147,0.327237,1.196658,4.940385,-0.982604,-1.113752
148,0.317199,1.227324,4.798109,-0.977626,-1.515314
149,0.271491,0.673579,3.844622,-0.999594,-0.988301
150,0.648608,0.930862,1.146676,-0.676958,-1.925580
151,0.301905,1.190659,4.940385,-0.916091,-1.358767
152,0.317199,1.216452,4.664246,-0.800980,-1.468836
153,0.317087,1.269728,4.856804,-0.812972,-1.440508
154,0.290662,0.698880,3.779395,-0.968518,-1.013086
155,0.271491,0.671009,3.857503,-0.999553,-0.988301
156,0.285022,0.676587,3.857503,-0.816647,-0.992503
157,0.271491,0.654782,3.857503,-0.989092,-0.988301
158,0.271491,0.698880,3.756756,-0.978507,-0.987489
159,0.271603,0.631759,3.857503,-0.888636,-0.988090
160,0.270977,0.631759,3.857503,-0.909513,-0.987683
161,0.662874,1.191469,0.954550,-0.620274,-0.969585
162,0.648608,0.932930,1.039750,-0.966705,-1.987765
163,0.317199,1.191231,4.700573,-0.993540,-1.515314
164,0.271491,0.676682,3.891594,-0.999954,-0.988301
165,0.637222,1.190659,1.007372,-0.709556,-3.468774
166,0.465715,0.671649,0.097156,-0.935140,-2.168221
167,0.275624,0.674152,3.857503,-0.997512,-0.989738
168,0.317199,1.190659,4.940385,-0.992671,-1.089496
169,0.317199,1.227324,4.856804,-0.991461,-1.492177
170,0.317199,1.190659,4.687693,-0.991117,-1.515314
171,0.271491,0.676632,3.891594,-0.999921,-0.988301
172,0.648608,0.933353,1.096531,-0.820820,-1.925580
173,0.647813,1.190659,0.954550,-0.658144,-1.953172
174,0.668160,0.936073,1.039750,-0.678463,-1.947118
175,0.650773,0.941191,1.142579,-0.703860,-1.933747
176,0.275575,0.676125,3.857503,-0.995230,-0.989679
177,0.275663,0.680202,3.772864,-0.993210,-0.989732
178,0.317199,1.227324,4.798109,-0.977626,-1.515314
179,0.315817,1.190659,4.768041,-0.989351,-1.497222
180,0.271491,0.674152,3.857503,-0.999682,-0.988301
181,0.648608,0.930862,1.146676,-0.676958,-1.925580
182,0.327237,1.196658,4.940385,-0.982604,-1.113752
183,0.317199,1.216452,4.664246,-0.800980,-1.468836
184,0.317087,1.269728,4.856804,-0.812972,-1.440508
185,0.307124,1.175057,4.847530,-0.982252,-1.428486
186,0.271491,0.673579,3.844622,-0.999594,-0.988301
187,0.301905,1.190659,4.940385,-0.916091,-1.358767
188,0.290662,0.698880,3.779395,-0.968518,-1.013086
189,0.290479,0.698880,3.755391,-0.972316,-1.012978
190,0.271491,0.671009,3.857503,-0.999553,-0.988301
